RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
2017-10-01 00:03:31,0,M60-SBS,BROADWAY/W 106 ST,40.801818,-73.967642,SELECT BUS SERVICE LA GUARDIA AIRPORT,40.768074,-73.862089,NYCT_5846,40.809715,-73.96011,AMSTERDAM AV/W 120 ST,approaching,122,2017-10-01 00:04:06,24:05:28
2017-10-01 00:03:32,0,Q58,PALMETTO ST/MYRTLE AV,40.700178,-73.910254,FLUSHING MAIN ST,40.757344,-73.829362,NYCT_3967,40.742271,-73.854411,108 ST/OTIS AV,approaching,131,2017-10-01 00:04:03,23:33:09
2017-10-01 00:03:29,0,M15,SOUTH ST/WHITEHALL ST,40.701536,-74.012485,EAST HARLEM 125 ST via 1 AV,40.80315,-73.932264,NYCT_5912,40.770211,-73.954244,1 AV/E 77 ST,approaching,135,2017-10-01 00:04:03,23:51:06
2017-10-01 00:03:24,1,S78,ST GEORGE FERRY/S78,40.643655,-74.07347,BRICKTOWN MALL,40.530061,-74.226654,NYCT_8180,40.643197,-74.074438,BAY ST/NICK LAPORTE PL,< 1 stop away,205,2017-10-01 00:03:55,24:00:44
2017-10-01 00:03:22,0,B6,HARWAY AV/BAY 37 ST,40.59351,-73.993996,EAST NY NEW LOTS STA,40.66642,-73.883387,NYCT_5110,40.633909,-73.918793,FLATLANDS AV/RALPH AV,< 1 stop away,271,2017-10-01 00:04:21,23:47:00
2017-10-01 00:03:34,0,M11,BETHUNE ST/GREENWICH ST,40.736989,-74.006358,133 ST - BROADWAY,40.818255,-73.956111,NYCT_6663,40.774689,-73.984497,AMSTERDAM AV/W 67 ST,approaching,126,2017-10-01 00:03:55,24:00:00
2017-10-01 00:03:51,1,M101,ST NICHOLAS AV/W 192 ST,40.856288,-73.928768,EAST VILLAGE 6 ST via LEX AV,40.729113,-73.990259,NYCT_6077,40.807881,-73.945758,W 125 ST/MALCOLM X  BL,approaching,73,2017-10-01 00:04:23,23:34:02
2017-10-01 00:03:47,0,Bx39,SOUNDVIEW AV/STEPHENS AV,40.807868,-73.852716,WAKEFIELD 241 ST via WHITE PLS RD,40.903309,-73.849922,NYCT_5800,40.883372,-73.862916,WHITE PLAINS RD/E 219 ST,at stop,15,2017-10-01 00:03:55,24:10:54
2017-10-01 00:03:40,0,B6,HARWAY AV/BAY 37 ST,40.59351,-73.993996,EAST NY NEW LOTS STA,40.66642,-73.883387,NYCT_7141,40.63562,-73.913103,FLATLANDS AV/E 80 ST,at stop,20,2017-10-01 00:03:55,24:10:16
2017-10-01 00:03:47,0,B48,LINCOLN RD/FLATBUSH AV,40.660662,-73.962371,GREENPOINT MEEKER AV,40.726636,-73.934326,NYCT_7245,40.724118,-73.949738,NASSAU AV/MC GUINNESS BL,approaching,118,2017-10-01 00:04:32,23:53:35
