RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
2017-12-01 00:05:49,0,B67,MC DONALD AV/CORTELYOU RD,40.63816,-73.978939,DNTWN BKLYN SANDS ST via FLATBUSH AV,40.700253,-73.98703,NYCT_406,40.671578,-73.977672,7 AV/GARFIELD PL,approaching,130,2017-12-01 00:06:21,24:01:30
2017-12-01 00:06:19,1,Bx7,RIVERDALE AV/W 263 ST,40.912363,-73.902699,WASHINGTON HEIGHTS 166 ST via BROADWAY,40.839813,-73.939745,NYCT_4223,40.866243,-73.925258,BROADWAY/ACADEMY ST,at stop,14,2017-12-01 00:06:21,23:34:35
2017-12-01 00:05:25,0,S51,LINCOLN AV/RICHMOND RD,40.581245,-74.11199,ST GEORGE FERRY via BAY ST,40.643585,-74.07261,NYCT_7080,40.581364,-74.112033,MIDLAND AV/RICHMOND RD,< 1 stop away,209,2017-12-01 00:06:22,24:15:35
2017-12-01 00:05:56,0,M8,WEST ST/CHRISTOPHER ST,40.732847,-74.010081,AVENUE "D" CROSSTOWN,40.724689,-73.974548,NYCT_3809,40.734194,-73.999677,GREENWICH AV/CHRISTOPHER ST,at stop,5,2017-12-01 00:06:22,24:05:24
2017-12-01 00:06:02,0,M101,ASTOR PL/3 AV,40.729567,-73.990052,FT GEORGE 193 ST via 3 AV,40.855666,-73.925259,NYCT_5902,40.773784,-73.957659,3 AV/E 79 ST,approaching,108,2017-12-01 00:06:24,24:03:01
2017-12-01 00:06:15,0,M5,6 AV/W 31 ST,40.748042,-73.988957,WASHINGTON HEIGHTS  GW BRIDGE,40.848264,-73.937455,NYCT_6365,40.76087,-73.979718,AV OF THE AMERICAS/W 54 ST,< 1 stop away,227,2017-12-01 00:07:54,23:51:51
2017-12-01 00:06:07,0,B41,E 70 ST/VETERANS AV,40.619935,-73.908708,EMPIRE BL,40.663012,-73.962211,NYCT_5045,40.619318,-73.920946,AV N/E 55 ST,approaching,129,2017-12-01 00:06:31,24:05:50
2017-12-01 00:05:50,1,S53,4 AV/86 ST,40.622312,-74.028688,PT RICHMOND,40.640296,-74.13133,NYCT_8249,40.608292,-74.088821,NARROWS RD N/RHINE AV,approaching,151,2017-12-01 00:06:39,24:00:01
2017-12-01 00:06:15,0,M101,ASTOR PL/3 AV,40.729567,-73.990052,96 ST,40.785724,-73.948791,NYCT_5268,40.730379,-73.989303,3 AV/E 9 ST,at stop,4,NA,24:05:29
2017-12-01 00:05:58,1,B6,LIVONIA AV/ASHFORD ST,40.666382,-73.883617,BENSONHURST HARWAY AV,40.592947,-73.993383,NYCT_5090,40.653041,-73.889844,COZINE AV/ALABAMA AV,at stop,28,2017-12-01 00:06:22,24:03:14
