RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
2017-08-01 00:01:03,0,Q32,W 32 ST/7 AV,40.749405,-73.99102,JACKSON HTS NORTHERN - 81 via ROOSVLT,40.755322,-73.886139,NYCT_7424,40.749403,-73.990841,W 32 ST/AV OF THE AMERICAS,< 1 stop away,220,2017-08-01 00:01:37,24:01:11
2017-08-01 00:00:52,0,B35,39 ST/1 AV,40.656456,-74.012245,BROWNSVILLE M GASTON BL via CHURCH,40.656345,-73.907188,NYCT_406,40.65133,-73.93896,CHURCH AV/E 42 ST,approaching,107,2017-08-01 00:02:00,23:56:12
2017-08-01 00:01:18,1,Q83,227 ST/113 DR,40.702263,-73.730339,JAMAICA HILLSIDE - 153 via LIBERTY,40.706795,-73.8041,NYCT_6449,40.706532,-73.804177,153 ST/HILLSIDE AV,at stop,25,2017-08-01 00:01:27,24:00:00
2017-08-01 00:01:05,0,M60-SBS,BROADWAY/W 106 ST,40.801819,-73.967644,SELECT BUS SERVICE LA GUARDIA AIRPORT,40.768074,-73.862091,NYCT_5846,40.770403,-73.917687,HOYT AV/31 ST,4.1 miles away,6519,2017-08-01 00:06:47,23:39:14
2017-08-01 00:01:05,0,M60-SBS,BROADWAY/W 106 ST,40.801819,-73.967644,SELECT BUS SERVICE LA GUARDIA AIRPORT,40.768074,-73.862091,NYCT_5846,40.770403,-73.917687,HOYT AV/31 ST,4.1 miles away,6519,2017-08-01 00:06:47,23:44:32
2017-08-01 00:01:05,0,M60-SBS,BROADWAY/W 106 ST,40.801819,-73.967644,SELECT BUS SERVICE LA GUARDIA AIRPORT,40.768074,-73.862091,NYCT_5846,40.770403,-73.917687,HOYT AV/31 ST,4.1 miles away,6519,2017-08-01 00:06:47,23:44:30
2017-08-01 00:01:14,0,M22,VESEY ST/NORTH END AV,40.71463,-74.015694,LOWER E. SIDE FDR DR,40.713356,-73.978279,NYCT_3809,40.717332,-74.014027,CHAMBERS ST/GREENWICH ST,< 1 stop away,353,2017-08-01 00:02:59,24:02:44
2017-08-01 00:00:54,1,B52,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.909996,DNTWN BKLYN TILLARY ST via GATES,40.693939,-73.990311,NYCT_6510,40.686912,-73.96406,GREENE AV/WASHINGTON AV,< 1 stop away,163,2017-08-01 00:01:34,24:06:25
2017-08-01 00:01:15,0,Shuttle-M2,BROADWAY/MYRTLE AV,40.697262,-73.93589,SHUTTLE #2 TO METROPOLITAN AV via FP RD,40.71225,-73.889061,NYCT_3967,40.706753,-73.897064,METROPOLITAN AV/FRESH POND RD,< 1 stop away,743,NA,24:10:00
2017-08-01 00:01:05,1,B49,FRANKLIN AV/LEFFERTS PL,40.680473,-73.955643,MNHATN BCH KNGSBRO CC via BEDFORD AV,40.578117,-73.939857,NYCT_5045,40.5859,-73.951865,SHEEPSHEAD BAY RD/VOORHIES AV,at stop,28,2017-08-01 00:01:27,23:58:58
2017-08-01 00:00:54,1,B46,WASHINGTON PLZ/LANE3,40.709393,-73.959518,KINGS PLAZA via UTICA,40.609142,-73.92144,NYCT_4611,40.652731,-73.930488,UTICA AV/CHURCH AV,approaching,150,2017-08-01 00:01:34,23:58:00
2017-08-01 00:01:01,0,B20,POSTAL FACILITY RD/IN FRONT OF FACILITY,40.664654,-73.862892,RIDGEWOOD FOREST AV,40.704865,-73.902145,NYCT_6492,40.677601,-73.898682,JAMAICA AV/FANCHON PL,at stop,0,NA,24:01:21
2017-08-01 00:01:00,0,Q28,39 AV/138 ST,40.760971,-73.827057,BAY TERRACE  BELL BL,40.782295,-73.777031,NYCT_4464,40.764578,-73.82407,NORTHERN BL/PARSONS BL,approaching,91,2017-08-01 00:01:27,24:01:08
2017-08-01 00:00:59,1,S78,ST GEORGE FERRY/S78,40.643654,-74.073471,BRICKTOWN MALL,40.53006,-74.226654,NYCT_8173,40.597272,-74.085163,HYLAN BL/OLD TOWN RD,< 1 stop away,209,2017-08-01 00:01:38,23:50:37
2017-08-01 00:01:10,0,Q2,165 ST/TERMINAL,40.707832,-73.795425,BELMONT PK 225 ST,40.711597,-73.729149,NYCT_8500,40.711867,-73.788091,HILLSIDE AV/175 ST,approaching,71,2017-08-01 00:01:33,24:01:03
