RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
2017-06-01 00:03:30,1,B15,JFK AIRPORT/TERMINAL 5 AirTrain STATION,40.647278,-73.779633,BED-STUY WOODHULL HOSP,40.699776,-73.941505,NYCT_7111,40.663732,-73.88884,NEW LOTS AV/WYONA ST,< 1 stop away,206,2017-06-01 00:04:16,23:54:08
2017-06-01 00:03:32,0,M10,8 AV/W  57 ST,40.766762,-73.982742,HARLEM 159 ST via 8 AV,40.831207,-73.935692,NYCT_6414,40.791478,-73.964819,CENTRAL PK W/W 96 ST,approaching,63,2017-06-01 00:03:56,24:00:18
2017-06-01 00:03:49,1,B17,EASTERN PY/UTICA AV,40.668537,-73.931236,CANARSIE SEAVIEW AV,40.638924,-73.881554,NYCT_6802,40.635639,-73.88671,SEAVIEW AV/E 102 ST,approaching,64,NA,24:00:07
2017-06-01 00:03:41,0,M60-SBS,BROADWAY/W 106 ST,40.801819,-73.967644,LA GUARDIA AIRPORT,40.768074,-73.862091,NYCT_5856,40.7729,-73.920855,HOYT AV/31 ST,< 1 stop away,417,2017-06-01 00:04:29,24:03:14
2017-06-01 00:03:41,0,M60-SBS,BROADWAY/W 106 ST,40.801819,-73.967644,LA GUARDIA AIRPORT,40.768074,-73.862091,NYCT_5856,40.7729,-73.920855,HOYT AV/31 ST,< 1 stop away,417,2017-06-01 00:04:29,24:08:32
2017-06-01 00:03:41,0,M60-SBS,BROADWAY/W 106 ST,40.801819,-73.967644,LA GUARDIA AIRPORT,40.768074,-73.862091,NYCT_5856,40.7729,-73.920855,HOYT AV/31 ST,< 1 stop away,417,2017-06-01 00:04:29,24:08:30
2017-06-01 00:03:46,0,Bx7,ST NICHOLAS AV/W 167 ST,40.840931,-73.939499,RIVERDALE 263 ST,40.912376,-73.902534,NYCT_4344,40.901848,-73.905967,RIVERDALE AV/W 254 ST,at stop,17,2017-06-01 00:03:56,24:04:40
2017-06-01 00:03:34,1,Bx7,RIVERDALE AV/W 263 ST,40.912365,-73.902702,WASHINGTON HTS 168 ST via BWAY,40.839813,-73.939743,NYCT_4365,40.845566,-73.938641,BROADWAY/W 174 ST,approaching,46,2017-06-01 00:03:56,23:45:42
2017-06-01 00:03:34,0,B67,MC DONALD AV/CORTELYOU RD,40.638161,-73.978935,DNTWN BKLYN SANDS ST via FLATBUSH AV,40.700253,-73.98703,NYCT_753,40.664409,-73.983651,7 AV/13 ST,approaching,42,2017-06-01 00:03:56,23:56:50
2017-06-01 00:03:37,1,M55,W 44 ST/6 AV,40.75589,-73.98278,SOUTH FERRY,40.70237,-74.013039,NYCT_5235,40.732865,-73.995902,E 8 ST/5 AV,approaching,123,2017-06-01 00:04:01,24:03:44
